scenario,n_items,n_trials,tail_q,mc_reps,metric,estimator,estimand,truth,estimate_mean,bias,rmse,estimate_sd,negative_rate
null_effect,300,10,0.2,12,signed,signed,latent_metric,0.0,0.0014444444444444455,0.0014444444444444455,0.00836327952686292,0.008603890749360783,0.5
null_effect,300,10,0.2,12,ins,raw,latent_metric,0.0,0.16244444444444447,0.16244444444444447,0.16256389057388643,0.006507700696111361,0.0
null_effect,300,10,0.2,12,ins,adjusted,latent_metric,0.0,0.017259259259259262,0.017259259259259262,0.018921897221062283,0.00810092010034222,0.0
null_effect,300,10,0.2,12,wtd,raw,oracle_tail,0.0,0.285,0.285,0.2853831083272423,0.015439683882250891,0.0
null_effect,300,10,0.2,12,wtd,adjusted,oracle_tail,0.0,0.015468749999999984,0.015468749999999984,0.023219164790201353,0.018086078633991896,0.16666666666666666
null_effect,300,10,0.2,12,wtd,split_oracle_comparison,oracle_tail,0.0,0.0052893518518518515,0.0052893518518518515,0.02254970646884956,0.022895303658616906,0.3333333333333333
null_effect,300,10,0.2,12,wtd,split,noisy_selected_set,0.0,0.0052893518518518515,0.0052893518518518515,0.02254970646884956,0.022895303658616906,0.3333333333333333
null_effect,300,20,0.05,12,signed,signed,latent_metric,0.0,-0.0037916666666666676,-0.0037916666666666676,0.008297562114081282,0.007708753059825806,0.6666666666666666
null_effect,300,20,0.05,12,ins,raw,latent_metric,0.0,0.11306944444444444,0.11306944444444444,0.11314460388763085,0.004306712128790283,0.0
null_effect,300,20,0.05,12,ins,adjusted,latent_metric,0.0,0.003589120370370371,0.003589120370370371,0.006047735351407039,0.005084019653168244,0.16666666666666666
null_effect,300,20,0.05,12,wtd,raw,oracle_tail,0.0,0.2925,0.2925,0.29292111186764563,0.016399371754411612,0.0
null_effect,300,20,0.05,12,wtd,adjusted,oracle_tail,0.0,-4.625929269271485e-18,-4.625929269271485e-18,0.017544860930247562,0.0183250095888372,0.5833333333333334
null_effect,300,20,0.05,12,wtd,split_oracle_comparison,oracle_tail,0.0,-0.008611111111111113,-0.008611111111111113,0.023118429997635123,0.02240885955447056,0.6666666666666666
null_effect,300,20,0.05,12,wtd,split,noisy_selected_set,0.0,-0.008611111111111113,-0.008611111111111113,0.023118429997635123,0.02240885955447056,0.6666666666666666
null_effect,300,20,0.1,12,signed,signed,latent_metric,0.0,-0.0012777777777777785,-0.0012777777777777785,0.00875383513836248,0.009045154217304136,0.5833333333333334
null_effect,300,20,0.1,12,ins,raw,latent_metric,0.0,0.11336111111111112,0.11336111111111112,0.11359353300580426,0.0075858165542420615,0.0
null_effect,300,20,0.1,12,ins,adjusted,latent_metric,0.0,0.003714699074074074,0.003714699074074074,0.00848523945900748,0.007968138790259672,0.3333333333333333
null_effect,300,20,0.1,12,wtd,raw,oracle_tail,0.0,0.25347222222222227,0.25347222222222227,0.25401908283521624,0.017399906149365676,0.0
null_effect,300,20,0.1,12,wtd,adjusted,oracle_tail,0.0,0.005590277777777775,0.005590277777777775,0.01866889178757355,0.018604290266008742,0.3333333333333333
